url,status,details,load_status,load_time_s,contact_page_status,form_status,fields_filled,filled_fields,failed_fields,validation_status,captcha_status,submit_status,success_status
https://thoughtmedia.com,Skipped,Page load timeout,Timeout,,,,,,,,,,
https://www.sucuri.net/?utm_source=firewall_block,Skipped,Submitted but no confirmation detected,Loaded,16.9,Opened,Found,5,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""first_name""""""""""""""""""""""""""""""",last_name,email,select:Sucuri Contact Us Form - Interested In*,"""""""""""""""""""""""""""""""message""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""full_name"""""""""""""""""""""""""""""""
https://digital-marketing-usa.com,Failed,No contact form detected,Loaded,2.4,Not found,Not found,,,,,,,
https://clickmen.us/contact-us/,Success,Verified thank-you / redirect,Loaded,4.8,Opened,Found,4,"""""""""""""""""""""""""""""""full_name""""""""""""""",email,subject,"""""""""""""""message""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""first_name""""""""""""""",last_name
https://www.chatterbuzzmedia.com/#,Skipped,Page load timeout,Timeout,,,,,,,,,,
https://calendly.com/contact,Failed,Submitted but no confirmation detected,Loaded,2.7,Opened,Found,5,"""""""""""""""""""""""""""""""first_name""""""""""""""",last_name,email,select:*How do you plan on using Calendly?,"""""""""""""""message""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""full_name"""""""""""""""
https://www.dial911fordesign.com/,Failed,No contact form detected,Loaded,11.7,Opened,Not found,,,,,,,
https://www.aumcore.com/contact/,Success,Verified thank-you / redirect,Loaded,6.3,Opened,Found,5,"""""""""""""""""""""""""""""""full_name""""""""""""""",message,company,email,"""""""""""""""phone""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""first_name"""""""""""""""
https://inbeat.agency/,Failed,No contact form detected,Loaded,13.4,Opened,Not found,,,,,,,
https://www.mainstreetroi.com/contact/,Failed,No contact form detected,Loaded,3.6,Opened,Not found,,,,,,,
https://leadige.agency/contact-us,Success,Verified thank-you / redirect,Loaded,2.5,Opened,Found,7,"""""""""""""""""""""""""""""""full_name""""""""""""""",last_name,email,company,phone,address
https://nustreammarketing.com/contact/,Success,Verified thank-you / redirect,Loaded,7.1,Opened,Found,6,"""""""""""""""""""""""""""""""first_name""""""""""""""",last_name,phone,email,select:I would like to talk about*,"""""""""""""""message"""""""""""""""""""""""""""""""
